name,organisation,country
Santiago Martínez de la Riva Vivanco, GBIF Spain, Spain
David Martin, CSIRO (Atlas of Living Australia), United Kingdom
Nicholas dos Remedio, Atlas of Living Australia / CSIRO, Australia
Tim Robertson, GBIF Secretariat, Danmark
Burke Ko, GBIF Secretariat, Danmark
Arturo Vargas, CRBio, Costa Rica
Daniel Lins, Instituto Chico Mendes de Conservaçao de Biodiversidad, Brazil
Allan Koch Veiga, Instituto Chico Mendes de Conservaçao de Biodiversidad, Brazil
Silvio Stanzani, Instituto Chico Mendes de Conservaçao de Biodiversidad, Brazil
Pedro Guimarães, Instituto Chico Mendes de Conservaçao de Biodiversidad, Brazil
Miguel Carboni, GBIF Argentina, Argentina
Yasser, Forest Research Institute Malaysia, Malaysia
Marie-Elise Lecoq, GBIF France, France