name,institution
Dr Anne-Sophie Archambeau, GBIF France
Dr Rui Figueira, GBIF Portugal
Pr Jean Ganglo, GBIF B̩nin
Veronika Johansson, GBIF Sweden
Chihjen Ko, TaiBIF
David Martin, Atlas of Living Australia
Dr Joe Miller, GBIF Secretariat
Dr Paco Pando, GBIF Spain
Tim Robertson, GBIF Secretariat
Dr Carole Sinou, Canadensys
Anders Telenius, GBIF Sweden
Cristina Villaverde, GBIF Spain
Vicente J. Ruiz Jurado (non voting member), Living Atlases - GBIF Spain
Marie-Elise Lecoq (former non voting member), VertNet
